Идентификатор DOI *;Количество авторов *;Фамилия *;Имя *;Количество аффилиаций *;Аффиляция *;Контрибьюция *;Дата публикации *;Наименование публикации *;Наименование издания *;Библиографическая ссылка *;Вид издания  *
10.3390/ceramics6010044;5;Merzlikin, Parshina, Safonov, Kostyukov;Vladimir, Svetlana, Evgeny, Andrey;2;Moscow Polytech Univ, Plekhanov Russian Univ Econ;0.7;MAR 2023;Affect of the Scattering Asymmetry by Structural Element of Thermal- or Environmental-Barrier Ceramics on Subsurface Radiant Overheating;CERAMICS-SWITZERLAND;"Merzlikin, Vladimir; Safonov, Evgeny; Kostyukov, Andrey; Parshina, Svetlana; Dokukina, Anna Affect of the Scattering Asymmetry by Structural Element of Thermal- or Environmental-Barrier Ceramics on Subsurface Radiant Overheating 2023 CERAMICS-SWITZERLAND, 6 (1), pp. 717-733";Статья
10.3390/fire6030095;7;Klyuev;Roman V.;1;Moscow Polytech Univ;0.14;MAR 2023;Modeling and Complex Analysis of the Topology Parameters of Ventilation Networks When Ensuring Fire Safety While Developing Coal and Gas Deposits;FIRE-SWITZERLAND;"Bosikov, Igor Ivanovich; Martyushev, Nikita V.; Klyuev, Roman V.; Savchenko, Irina A.; Kukartsev, Vladislav V.; Kukartsev, Viktor A.; Tynchenko, Yadviga A. Modeling and Complex Analysis of the Topology Parameters of Ventilation Networks When Ensuring Fire Safety While Developing Coal and Gas Deposits 2023 FIRE-SWITZERLAND, 6 (3), Статья № 95";Статья
10.3390/ceramics6010009;4;Smirnov;Aleksey D.;1;Moscow Polytech Univ;0.25;MAR 2023;Porous Alumina-Bentonite Ceramics: Effects of Fillers and Molding Technique;CERAMICS-SWITZERLAND;"Smirnov, Aleksey D.; Kholodkova, Anastasia A.; Rybalchenko, Viktor V.; Tarasovskii, Vadim P. Porous Alumina-Bentonite Ceramics: Effects of Fillers and Molding Technique 2023 CERAMICS-SWITZERLAND, 6 (1), pp. 132-145";Статья
10.3390/cryst13030528;9;;;1;Moscow Polytech Univ;0.11;MAR 2023;Complex Assessment of X-ray Diffraction in Crystals with Face-Centered Silicon Carbide Lattice;CRYSTALS;"Bosikov, Igor I. I.; Martyushev, Nikita V. V.; Klyuev, Roman V. V.; Tynchenko, Vadim S. S.; Kukartsev, Viktor A. A.; Eremeeva, Svetlana V. V.; Karlina, Antonina I. I. Complex Assessment of X-ray Diffraction in Crystals with Face-Centered Silicon Carbide Lattice 2023 CRYSTALS, 13 (3), Статья № 528";Статья
10.1134/S0018151X2207001X;2;Bondar, Abashev;V. S., D. R.;1;Moscow Polytech Univ;1.0;DEC 2022;Nonisothermic Cyclic Deformation of 12Cr18Ni10Ti Steel under High Temperatures;HIGH TEMPERATURE;"Bondar, V. S.; Abashev, D. R. Nonisothermic Cyclic Deformation of 12Cr18Ni10Ti Steel under High Temperatures 2022 HIGH TEMPERATURE, 60 (SUPPL 1), pp. S134-S137";Статья
10.3390/en16062596;3;Radionov;Andrey A.;1;Moscow Polytech Univ;0.33;MAR 2023;Operating Modes Optimization for the Boiler Units of Industrial Steam Plants;ENERGIES;"Varganova, Aleksandra V.; Khramshin, Vadim R.; Radionov, Andrey A. Operating Modes Optimization for the Boiler Units of Industrial Steam Plants 2023 ENERGIES, 16 (6), Статья № 2596";Статья
10.31166/VoprosyIstorii202301Statyi38;3;Vagabov;M. M.;1;Moscow Polytech Univ;0.33;2023;Sulak military line and Kumyk cordon: history of construction and military-strategic significance;VOPROSY ISTORII;"Gazieva, A. A.; Vagabov, M. M.; Ozturk, M. Sulak military line and Kumyk cordon: history of construction and military-strategic significance 2023 VOPROSY ISTORII, 1 (2), pp. 64-69";Статья
10.1016/j.mechrescom.2023.104071;4;Skvortsov, Pshonkin, Nikolaev, Kulakov;Arkady A., Danila E., Vladimir K., Pavel A.;1;Moscow Polytech Univ;1.0;MAY 2023;Effect of magnetic fields on the formation of the neck of a flat aluminum sample with inclusions during stretching;MECHANICS RESEARCH COMMUNICATIONS;"Skvortsov, Arkady A.; Pshonkin, Danila E.; Nikolaev, Vladimir K.; Kulakov, Pavel A. Effect of magnetic fields on the formation of the neck of a flat aluminum sample with inclusions during stretching 2023 MECHANICS RESEARCH COMMUNICATIONS, 129, Статья № 104071";Статья
10.1016/j.jallcom.2023.169421;9;Nalivaiko;A. Yu.;2;Moscow Polytech Univ, Natl Univ Sci & Technol MISIS;0.06;JUN 25 2023;Laser powder bed fusion of AlSi10Mg-based composites with graphene and nanodiamond additions;JOURNAL OF ALLOYS AND COMPOUNDS;"Spierings, A. B.; Ozherelkov, D. Yu.; Kneubuhler, F.; Eremin, S. A.; Pelevin, I. A.; Nalivaiko, A. Yu.; Petrov, E. A.; Gromov, A. A.; Wegener, K. Laser powder bed fusion of AlSi10Mg-based composites with graphene and nanodiamond additions 2023 JOURNAL OF ALLOYS AND COMPOUNDS, 947, Статья № 169421";Статья
10.15828/2075-8545-2023-15-1-53-58;3;Nazarov;Victor G.;1;Moscow Polytech Univ;0.67;2023;Compressibility of the composite material with fiber filler and nanodimensional polyurethane matrix for road and hydro engineering construction;NANOTECHNOLOGIES IN CONSTRUCTION-A SCIENTIFIC INTERNET-JOURNAL;"Nazarov, Victor G.; Dedov, Alexander, V; Bokova, Elena S. Compressibility of the composite material with fiber filler and nanodimensional polyurethane matrix for road and hydro engineering construction 2023 NANOTECHNOLOGIES IN CONSTRUCTION-A SCIENTIFIC INTERNET-JOURNAL, 15 (1), pp. 53-58";Статья
10.1016/j.scriptamat.2023.115391;7;Golovin;I. S.;2;Moscow Polytech Univ, Natl Univ Sci & Technol MISIS;0.07;JUN 2023;The role of H-phase in thermal hysteresis and shape memory properties in Ni50Ti30Hf20alloy;SCRIPTA MATERIALIA;"Shuitcev, A. V.; Khomutov, M. G.; Vasin, R. N.; Li, L.; Golovin, I. S.; Zheng, Y. F.; Tong, Y. X. The role of H-phase in thermal hysteresis and shape memory properties in Ni50Ti30Hf20alloy 2023 SCRIPTA MATERIALIA, 230, Статья № 115391";Статья
10.1007/s10692-023-10387-w;3;Nazarov, Dedov, Evdokimov;V. G., A. V., A. G.;1;Moscow Polytech Univ;1.0;NOV 2022;Nonwoven Needle-Punched Materials with High Tensile Strength;FIBRE CHEMISTRY;"Nazarov, V. G.; Dedov, A. V.; Evdokimov, A. G. Nonwoven Needle-Punched Materials with High Tensile Strength 2022 FIBRE CHEMISTRY, 54 (4), pp. 248-251";Статья
10.52254/1857-0070.2023.1-57.10;2;Kosach;L. A.;1;Moscow Polytech Univ;1.0;2023;Heat Transfer Slot Matrix for Compact Rotary Heat Exchangers with Ultra-High Regeneration Ratio for Microturbines;PROBLEMELE ENERGETICII REGIONALE;"Kostyukov, A., V; Kosach, L. A. Heat Transfer Slot Matrix for Compact Rotary Heat Exchangers with Ultra-High Regeneration Ratio for Microturbines 2023 PROBLEMELE ENERGETICII REGIONALE, Выпуск 1, pp. 126-133";Статья
;6;;;0;;0.0;JAN-FEB 2023;RAISING THE LEVEL OF MOTIVATION OF ECONOMICS STUDENTS FOR STUDYING ENGLISH USING THE MYENGLISHLAB BLENDED LEARNING PLATFORM;REVISTA CONRADO;"Pivneva, Svetlana; Chernova, Oxana; Abalyan, Zhanna; Shangaraeva, Liya; Rubannikova, Irina; Litvinov, Aleksandr RAISING THE LEVEL OF MOTIVATION OF ECONOMICS STUDENTS FOR STUDYING ENGLISH USING THE MYENGLISHLAB BLENDED LEARNING PLATFORM 2023 REVISTA CONRADO, 19 (90), pp. 270-276";Статья
10.5890/JEAM.2023.06.005;4;Kosenok;Yury;1;Moscow Polytech Univ;0.25;JUN 2023;Economic Indicators for Analyzing the Spatio-Temporal Characteristics of the Supply and Demand for Ecosystem Services;JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT;"Kosenok, Yury; Gorbanyov, Vladimir; Makar, Svetlana; Bubnov, Vladimir Economic Indicators for Analyzing the Spatio-Temporal Characteristics of the Supply and Demand for Ecosystem Services 2023 JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT, 11 (2), pp. 181-191";Статья
10.1142/S1793292023500157;9;Nalivaiko;A. Yu.;1;Moscow Polytech Univ;0.11;MAR 2023;Ni-Co-Cu/Carbon Nanocomposites: Synthesis, Characterization and Magnetic Properties;NANO;"Gromov, A. A.; Yakushko, E. V.; Muratov, D. G.; Kozitov, L. V.; Lomov, A. A.; Nalivaiko, A. Yu.; Ozherelkov, D. Yu.; Pelevin, I. A.; Marinich, S. B. Ni-Co-Cu/Carbon Nanocomposites: Synthesis, Characterization and Magnetic Properties 2023 NANO, 18 (3), Статья № 2350015";Статья
10.3390/polym15041029;6;Zadorozhnyy;Mikhail Yurievich;2;Moscow Polytech Univ, Natl Univ Sci & Technol MISIS;0.08;FEB 2023;Promising Agromaterials Based on Biodegradable Polymers: Polylactide and Poly-3-Hydroxybutyrate;POLYMERS;"Tertyshnaya, Yulia Victorovna; Podzorova, Maria Victorovna; Varyan, Ivetta Aramovna; Tcherdyntsev, Victor Victorovich; Zadorozhnyy, Mikhail Yurievich; Medvedeva, Elena Valerievna Promising Agromaterials Based on Biodegradable Polymers: Polylactide and Poly-3-Hydroxybutyrate 2023 POLYMERS, 15 (4), Статья № 1029";Статья
10.1109/ACCESS.2023.3245041;5;Shvetsov;Alexey V. V.;2;Moscow Polytech Univ, North Eastern Fed Univ;0.1;2023;Spatial Upscaling-Based Algorithm for Detection and Estimation of Hazardous Gases;IEEE ACCESS;"Srivastava, Sumit; Chaudhri, Shiv Nath; Rajput, Navin Singh; Alsamhi, Saeed Hamood; Shvetsov, Alexey V. V. Spatial Upscaling-Based Algorithm for Detection and Estimation of Hazardous Gases 2023 IEEE ACCESS, 11, pp. 17731-17738";Статья
10.1109/ACCESS.2023.3247503;6;Pristanskiy;Egor;2;Moscow Polytech Univ, Evocargo LLC;0.08;2023;Prior Distribution Refinement for Reference Trajectory Estimation With the Monte Carlo-Based Localization Algorithm;IEEE ACCESS;"Griguletskii, Mark; Shipitko, Oleg; Abramov, Maxim; Pristanskiy, Egor; Kibalov, Vladislav; Grigoryev, Anton Prior Distribution Refinement for Reference Trajectory Estimation With the Monte Carlo-Based Localization Algorithm 2023 IEEE ACCESS, 11, pp. 19093-19102";Статья
10.1007/s10692-023-10386-x;5;Nazarov, Dedov, Evdokimov;V. G., A. V., A. G.;1;Moscow Polytech Univ;0.6;NOV 2022;Mechanical Properties of Composite Material Based on an Oxyfluorinated Fibrous Filler;FIBRE CHEMISTRY;"Leshchenko, T. A.; Chernousova, N. V.; Nazarov, V. G.; Dedov, A. V.; Evdokimov, A. G. Mechanical Properties of Composite Material Based on an Oxyfluorinated Fibrous Filler 2022 FIBRE CHEMISTRY, 54 (4), pp. 243-247";Статья
10.1007/s12633-023-02353-2;5;Skvortsov, Nikolaev, Koryachko, Volkov;Arkady A., Vladimir K., Marina V., Evgeniy I.;1;Moscow Polytech Univ;0.8;JUL 2023;Analysis of Thermomechanical Stresses in Silicon During Heating of Aluminum Interconnects on its Surface by a Pulse Current;SILICON;"Skvortsov, Arkady A.; Nikolaev, Vladimir K.; Koryachko, Marina V.; Skvortsov, Pavel A.; Volkov, Evgeniy I. Analysis of Thermomechanical Stresses in Silicon During Heating of Aluminum Interconnects on its Surface by a Pulse Current 2023 SILICON, 15 (10), pp. 4417-4424";Статья
10.3390/machines11020276;6;Gasiyarov;Vadim R.;1;Moscow Polytech Univ;0.17;FEB 2023;Substantiating and Implementing Concept of Digital Twins for Virtual Commissioning of Industrial Mechatronic Complexes Exemplified by Rolling Mill Coilers;MACHINES;"Gasiyarov, Vadim R.; Bovshik, Pavel A.; Loginov, Boris M.; Karandaev, Alexander S.; Khramshin, Vadim R.; Radionov, Andrey A. Substantiating and Implementing Concept of Digital Twins for Virtual Commissioning of Industrial Mechatronic Complexes Exemplified by Rolling Mill Coilers 2023 MACHINES, 11 (2), Статья № 276";Статья
10.3390/machines11020252;4;Radionova, Gromov;Liudmila V., Dmitry V.;1;Moscow Polytech Univ;0.5;FEB 2023;Experimental Determination and Calculation of the Wire Drawing Force in Monolithic Dies on Straight-Line Drawing Machines;MACHINES;"Radionova, Liudmila V.; Gromov, Dmitry V.; Lisovskiy, Roman A.; Erdakov, Ivan N. Experimental Determination and Calculation of the Wire Drawing Force in Monolithic Dies on Straight-Line Drawing Machines 2023 MACHINES, 11 (2), Статья № 252";Статья
10.3390/jmmp7010041;6;Gasiyarov;Vadim R.;1;Moscow Polytech Univ;0.17;FEB 2023;Development and Practical Implementation of Digital Observer for Elastic Torque of Rolling Mill Electromechanical System;JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING;"Gasiyarov, Vadim R.; Radionov, Andrey A.; Loginov, Boris M.; Karandaev, Alexander S.; Gasiyarova, Olga A.; Khramshin, Vadim R. Development and Practical Implementation of Digital Observer for Elastic Torque of Rolling Mill Electromechanical System 2023 JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING, 7 (1), Статья № 41";Статья
10.3390/s23041775;4;Gasiyarov;Vadim R.;1;Moscow Polytech Univ;0.25;FEB 2023;Fluxgate Sensor with Bifactor Excitation Mode;SENSORS;"Bryakin, Ivan V.; Bochkarev, Igor V.; Khramshin, Vadim R.; Gasiyarov, Vadim R. Fluxgate Sensor with Bifactor Excitation Mode 2023 SENSORS, 23 (4), Статья № 1775";Статья
10.1007/s11182-023-02820-8;1;Skobelev;V. V.;1;Moscow Polytech Univ;1.0;FEB 2023;DETERMINATION OF THE PROBABILITY PARAMETER FOR THE SYSTEM OF NEUTRAL K MESONS;RUSSIAN PHYSICS JOURNAL;Skobelev, V. V. DETERMINATION OF THE PROBABILITY PARAMETER FOR THE SYSTEM OF NEUTRAL K MESONS 2023 RUSSIAN PHYSICS JOURNAL, 65 (10), pp. 1701-1705;Статья
10.3390/ma16041490;10;Moskovskikh;Dmitry O. O.;2;Moscow Polytech Univ, Natl Univ Sci & Technol MISiS;0.05;FEB 2023;Combustion Synthesis and Reactive Spark Plasma Sintering of Non-Equiatomic CoAl-Based High Entropy Intermetallics;MATERIALS;"Kuskov, Kirill Vasilevich; Nepapushev, Andrey A. A.; Aydinyan, Sofiya; Shaysultanov, Dmitry G. G.; Stepanov, Nikita D. D.; Nazaretyan, Khachik; Kharatyan, Suren; Zakharova, Elena V. V.; Belov, Dmitry S. S.; Moskovskikh, Dmitry O. O. Combustion Synthesis and Reactive Spark Plasma Sintering of Non-Equiatomic CoAl-Based High Entropy Intermetallics 2023 MATERIALS, 16 (4), Статья № 1490";Статья
10.3390/coatings13020424;6;Doronin, Evdokimov, Rudyak, Savel'ev, Nazarov;Fedor, Andrey, Yury, Mikhail, Victor;1;Moscow Polytech Univ;0.83;FEB 2023;Biostable Fluorine-Containing Coatings on the Surface of Polymers;COATINGS;"Doronin, Fedor; Rytikov, Georgy; Evdokimov, Andrey; Rudyak, Yury; Savel'ev, Mikhail; Nazarov, Victor Biostable Fluorine-Containing Coatings on the Surface of Polymers 2023 COATINGS, 13 (2), Статья № 424";Статья
;5;Shelygov;Aleksandr;1;Moscow Polytech Univ;0.2;DEC 2022;IMPROVEMENT OF THE EDUCATION SYSTEM FOR THE MANAGEMENT OF INTERNATIONAL TOURISM IN MODERN CONDITIONS;REVISTA CONRADO;"Nikolskaya, Elena; Kovaleva, Natalia; Khristov, Todor; Fedorchukova, Svetlana; Shelygov, Aleksandr IMPROVEMENT OF THE EDUCATION SYSTEM FOR THE MANAGEMENT OF INTERNATIONAL TOURISM IN MODERN CONDITIONS 2022 REVISTA CONRADO, 18, pp. 306-311";Статья
;5;Shelygov;Aleksandr;1;Moscow Polytech Univ;0.2;DEC 2022;IMPROVEMENT OF THE EDUCATION SYSTEM FOR THE MANAGEMENT OF INTERNATIONAL TOURISM IN MODERN CONDITIONS;REVISTA CONRADO;"Nikolskaya, Elena; Kovaleva, Natalia; Khristov, Todor; Fedorchukova, Svetlana; Shelygov, Aleksandr IMPROVEMENT OF THE EDUCATION SYSTEM FOR THE MANAGEMENT OF INTERNATIONAL TOURISM IN MODERN CONDITIONS 2022 REVISTA CONRADO, 18, pp. 306-311";Статья
10.3103/S1068364X22700296;6;Makarenkov;D. A.;2;Moscow Polytech Univ, Kurchatov Inst;0.08;NOV 2022;Preliminary Discharge of Spent Lithium Batteries in Salt Solution for Safe Disposal;COKE AND CHEMISTRY;"Nazarov, V. I.; Retivov, V. M.; Makarenkov, D. A.; Popov, A. P.; Aflyatunova, G. R.; Kuznetsova, N. A. Preliminary Discharge of Spent Lithium Batteries in Salt Solution for Safe Disposal 2022 COKE AND CHEMISTRY, 65 (11), pp. 564-571";Статья
10.17223/19988591/59/3;5;Grebenshchikov, Gromovykh;Denis P., Tatiana I.;2;Moscow Polytech Univ, Russian Acad Sci;0.2;2022;Evaluation of the sorption capacity of functionalized bacterial cellulose gel films with respect to chloramphenicol;VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-BIOLOGIYA;"Kober, Darya D.; Rubina, Margarita S.; Elmanovich, Igor V.; Grebenshchikov, Denis P.; Gromovykh, Tatiana I. Evaluation of the sorption capacity of functionalized bacterial cellulose gel films with respect to chloramphenicol 2022 VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-BIOLOGIYA, Выпуск 59, pp. 64-84";Статья
10.1134/S0036029522130109;2;Gertsyk, Volgina;S. I., N. I.;1;Moscow Polytech Univ;1.0;DEC 2022;Causes of the Corrosion Cracking in 12Kh18N9 Steel Parts;RUSSIAN METALLURGY;"Gertsyk, S. I.; Volgina, N. I. Causes of the Corrosion Cracking in 12Kh18N9 Steel Parts 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1652-1657";Статья
10.1134/S0036029522130341;3;Shatalov, Pham, Chan;R. L., Viet Hoang, Vu Quang;1;Moscow Polytech Univ;1.0;DEC 2022;Determination of the Mechanical Properties of AD33 Aluminum Alloy Strips Using Various Hardness Scales during Cold Rolling;RUSSIAN METALLURGY;"Shatalov, R. L.; Pham, Viet Hoang; Chan, Vu Quang Determination of the Mechanical Properties of AD33 Aluminum Alloy Strips Using Various Hardness Scales during Cold Rolling 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1674-1679";Статья
10.1134/S0036029522130407;4;Volgina, Adylina, Shul'gin, Khlamkova;N. I., A. P., A. V., S. S.;1;Moscow Polytech Univ;1.0;DEC 2022;Effect of High-Pressure Tests on the Mechanical Properties of Kh70 Steel and the Stress Corrosion Cracking Resistance;RUSSIAN METALLURGY;"Volgina, N. I.; Adylina, A. P.; Shul'gin, A. V.; Khlamkova, S. S. Effect of High-Pressure Tests on the Mechanical Properties of Kh70 Steel and the Stress Corrosion Cracking Resistance 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1699-1701";Статья
10.1134/S0036029522130274;3;Petrov, Gnevashev, Krutina;M. A., D. A., E. V.;1;Moscow Polytech Univ;1.0;DEC 2022;Numerical Simulation of the Upsetting of Bronze Samples with Allowance for Changes in Their Relative Density;RUSSIAN METALLURGY;"Petrov, M. A.; Gnevashev, D. A.; Krutina, E. V. Numerical Simulation of the Upsetting of Bronze Samples with Allowance for Changes in Their Relative Density 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1714-1724";Статья
10.1134/S0036029522130286;5;Petrov, Ngoc, Bach, Burlakov;P. A., Fam Wang, Wu Chong, I. A.;1;Moscow Polytech Univ;0.8;DEC 2022;Plotting of Yield Curves for Al-Mg Aluminum Alloys Using Full-Scale and Computational Experiments;RUSSIAN METALLURGY;"Petrov, P. A.; Ngoc, Fam Wang; Bach, Wu Chong; Burlakov, I. A.; Dixit, Uday Schenker Plotting of Yield Curves for Al-Mg Aluminum Alloys Using Full-Scale and Computational Experiments 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1781-1788";Статья
10.1134/S0036029522130353;3;Shatalov, Chan, Pham;R. L., Vu Quang, Viet Hoang;1;Moscow Polytech Univ;1.0;DEC 2022;Effect of Roll Lubricants on the Deformation and Force Indicators and the Strip Sizes during Cold Rolling of Copper;RUSSIAN METALLURGY;"Shatalov, R. L.; Chan, Vu Quang; Pham, Viet Hoang Effect of Roll Lubricants on the Deformation and Force Indicators and the Strip Sizes during Cold Rolling of Copper 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1809-1813";Статья
10.1134/S0036029522130110;2;Gnevashev, Goryacheva;D. A., K. L.;1;Moscow Polytech Univ;1.0;DEC 2022;Properties of Rematitan CL Titanium Powder Samples Fabricated by an Additive Technology for Arthrodesis in Veterinary Medicine;RUSSIAN METALLURGY;"Gnevashev, D. A.; Goryacheva, K. L. Properties of Rematitan CL Titanium Powder Samples Fabricated by an Additive Technology for Arthrodesis in Veterinary Medicine 2022 RUSSIAN METALLURGY, 2022 (13), pp. 1818-1824";Статья
;6;Sekerin;Vladimir;1;Moscow Polytech Univ;0.17;DEC 2022;ESTABLISHING EFFECTIVE METHODS OF INTRA-COMPANY TRAVEL COMPANY STAFF EDUCATION IN THE CONTEXT OF DIGITALIZATION;REVISTA CONRADO;"Kovalenko, Vladimir; Rodinova, Nadezhda; Ostroukhov, Vladimir; Zudilova, Ekaterina; Makushkin, Sergey; Sekerin, Vladimir ESTABLISHING EFFECTIVE METHODS OF INTRA-COMPANY TRAVEL COMPANY STAFF EDUCATION IN THE CONTEXT OF DIGITALIZATION 2022 REVISTA CONRADO, 18, pp. 418-424";Статья
10.3390/ma16020677;6;Akopyan;Torgom K.;2;Moscow Polytech Univ, Natl Univ Sci & Technol MISIS NUST MISIS;0.08;JAN 2023;Effect of Radial-Shear Rolling on the Structure and Hardening of an Al-8%Zn-3.3%Mg-0.8%Ca-1.1%Fe Alloy Manufactured by Electromagnetic Casting;MATERIALS;"Gamin, Yury V.; Belov, Nikolay A.; Akopyan, Torgom K.; Timofeev, Victor N.; Cherkasov, Stanislav O.; Motkov, Mikhail M. Effect of Radial-Shear Rolling on the Structure and Hardening of an Al-8%Zn-3.3%Mg-0.8%Ca-1.1%Fe Alloy Manufactured by Electromagnetic Casting 2023 MATERIALS, 16 (2), Статья № 677";Статья
;5;Dmitrieva;Olga;1;Moscow Polytech Univ;0.2;JAN-DEC 2022;PERFECTING APPROACHES TO PERSONNEL RECRUITMENT IN THE HOSPITALITY INDUSTRY;ANAIS BRASILEIROS DE ESTUDOS TURISTICOS-ABET;"Nikolskaya, Elena; Zakharova, Elena; Avilova, Natalia; Konovalova, Alla; Dmitrieva, Olga PERFECTING APPROACHES TO PERSONNEL RECRUITMENT IN THE HOSPITALITY INDUSTRY 2022 ANAIS BRASILEIROS DE ESTUDOS TURISTICOS-ABET, 12";Статья
;5;Tretyak;Elena;1;Moscow Polytech Univ;0.2;JAN-DEC 2022;IMPROVEMENT OF THE REGULATION OF TOURISM ACTIVITIES IN MODERN CONDITIONS;ANAIS BRASILEIROS DE ESTUDOS TURISTICOS-ABET;"Potekhina, Elena; Putrik, Yurii; Barsukov, Sergey; Smirnova, Anastasiya; Tretyak, Elena IMPROVEMENT OF THE REGULATION OF TOURISM ACTIVITIES IN MODERN CONDITIONS 2022 ANAIS BRASILEIROS DE ESTUDOS TURISTICOS-ABET, 12";Статья
